Network Size,Connectivity,Traffic Pattern,Traffic Intensity,PAMR Avg Quality,RIP Avg Quality,OSPF Avg Quality,PAMR Avg Congestion,RIP Avg Congestion,OSPF Avg Congestion,PAMR Avg Path Length,RIP Avg Path Length,OSPF Avg Path Length,PAMR Convergence Time,RIP Convergence Time,OSPF Convergence Time,PAMR vs RIP Quality %,PAMR vs OSPF Quality %,PAMR vs RIP Congestion %,PAMR vs OSPF Congestion %,Configuration
10,0.2,random,0.3,0.3490327146331641,0.051094401910314856,0.05051132182368441,0.10457974688407749,0.0,0.10088045473857139,3.8,1.0,3.4,5.7077407836914064e-05,1.71661376953125e-06,3.0994415283203125e-06,583.1134167023138,590.9989721740069,-100.0,-3.5372930760739107,Sparse Small Network with Light Random Traffic
10,0.2,random,0.7,0.29756594368143596,0.06662570692128018,0.06599823892699518,0.21907963906803304,0.03909457383132281,0.21907963906803304,3.2,1.0,3.2,6.103515625e-05,1.2874603271484376e-06,2.193450927734375e-06,346.6233191837154,350.8695209437216,-82.15508570416151,0.0,Sparse Small Network with Heavy Random Traffic
10,0.2,hotspot,0.5,0.37715304492037577,0.08524730392819355,0.08457346665387341,0.08898766568866667,0.005867274174264777,0.08898766568866667,2.8,1.0,2.8,7.772445678710938e-05,2.47955322265625e-06,4.38690185546875e-06,342.4222556505288,345.94724544509654,-93.40664334898716,0.0,Sparse Small Network with Hotspot Traffic
10,0.2,bottleneck,0.6,0.40385331793694,0.09305088635622503,0.09156535502080353,0.0712145907429661,0.0,0.0712145907429661,2.0,1.0,2.0,4.0435791015625e-05,1.621246337890625e-06,2.574920654296875e-06,334.0134025063185,341.05471752409534,-100.0,0.0,Sparse Small Network with Bottleneck Traffic
10,0.2,cascade,0.8,0.402639585359544,0.09935153852145721,0.09841335730315232,0.06520894078218756,0.0064881789317971185,0.0800888729488554,2.6,1.0,2.2,2.8705596923828126e-05,1.049041748046875e-06,1.8596649169921875e-06,305.2675895628782,309.1310330154207,-90.05016972523893,22.8188527342748,Sparse Small Network with Cascade Failure
10,0.5,random,0.3,0.5443907125967232,0.20562181381502018,0.2036124068771194,0.033927255257196066,0.016636229877845063,0.033927255257196066,1.2,1.0,1.2,5.9604644775390625e-05,2.6702880859375e-06,3.957748413085938e-06,164.75338510848053,167.36617917652944,-50.964999226347764,0.0,Dense Small Network with Light Random Traffic
10,0.5,random,0.7,0.39861345609169807,0.15505814093630002,0.15329108613602666,0.08339303859792578,0.14907549653876342,0.17374167736694696,2.2,1.0,1.8,3.075599670410156e-05,1.0967254638671874e-06,2.002716064453125e-06,157.07354266258994,160.0369441821154,78.76251908450227,108.34074436912098,Dense Small Network with Heavy Random Traffic
10,0.5,hotspot,0.5,0.46619795525116137,0.14205685511629684,0.1401146787912603,0.032097929922487736,0.024089342934813435,0.029518417714898455,1.6,1.0,1.6,2.536773681640625e-05,1.239776611328125e-06,1.71661376953125e-06,228.1770210029652,232.72599221791216,-24.950478136795684,-8.036381828418415,Dense Small Network with Hotspot Traffic
10,0.5,bottleneck,0.6,0.4679585225724,0.14854851656134532,0.14721902204360066,0.03266517655776037,0.01895397965446662,0.09743167650251638,1.8,1.0,2.0,4.062652587890625e-05,1.9550323486328123e-06,2.47955322265625e-06,215.02066355482557,217.86552856858984,-41.974966457165344,198.2738401252242,Dense Small Network with Bottleneck Traffic
10,0.5,cascade,0.8,0.47717442727384407,0.18973039577546053,0.18731977026289726,0.08652850870396941,0.06224742281340836,0.09196713834279498,1.6,1.0,1.6,6.132125854492187e-05,2.6702880859375e-06,3.7670135498046877e-06,151.50130811858094,154.73788837352575,-28.061371048969885,6.285361576532145,Dense Small Network with Cascade Failure
20,0.2,random,0.3,0.4114232010344484,0.10348845244955493,0.10233352900230659,0.058056585651894296,0.0028823441096489204,0.0599889511022771,2.6,1.0,2.0,4.2390823364257815e-05,1.6689300537109375e-06,2.6702880859375e-06,297.5546945539602,302.0414472613125,-95.03528483929217,3.328417316804022,Sparse Medium Network with Light Random Traffic
20,0.2,random,0.7,0.3978153741974525,0.18230044319193145,0.17948565726009696,0.19782422482335354,0.1739627826697831,0.19782422482335354,1.4,1.0,1.4,3.31878662109375e-05,1.5735626220703124e-06,2.2411346435546876e-06,118.21964183522056,121.6418739359038,-12.061941440628631,0.0,Sparse Medium Network with Heavy Random Traffic
20,0.2,hotspot,0.5,0.41099959062374447,0.08484068365404909,0.08387509469940385,0.0510037808506187,0.0,0.052466248290278614,2.4,1.0,2.2,5.750656127929687e-05,2.002716064453125e-06,3.1948089599609376e-06,384.4369150768025,390.01386179855564,-100.0,2.867370644429723,Sparse Medium Network with Hotspot Traffic
20,0.2,bottleneck,0.6,0.4263974665664563,0.08535551751488596,0.08451430621196926,0.03417974595105234,0.0,0.03417974595105234,2.8,1.0,2.8,8.420944213867187e-05,2.9087066650390623e-06,5.53131103515625e-06,399.55466146882975,404.526967892293,-100.0,0.0,Sparse Medium Network with Bottleneck Traffic
20,0.2,cascade,0.8,0.3896217174336143,0.0940187437601562,0.09381713152017718,0.08038247141222904,0.02944440548846971,0.08388471491499054,2.6,1.0,2.4,8.935928344726563e-05,3.5762786865234375e-06,4.9591064453125e-06,314.4085549872348,315.29911554567053,-63.36961905852752,4.356974152736348,Sparse Medium Network with Cascade Failure
20,0.4,random,0.3,0.4452120397107383,0.12228521291980791,0.12015375002526599,0.02196740294282078,0.059810959545592256,0.12734188336384036,2.0,1.0,1.8,7.185935974121093e-05,2.765655517578125e-06,4.625320434570312e-06,264.0767588168645,270.53528468076854,172.2714182521936,479.6856537629874,Dense Medium Network with Light Random Traffic
20,0.4,random,0.7,0.4079465031801828,0.1273642056134861,0.12533041342065604,0.05925512337695232,0.1154369452468248,0.17796803363472322,3.0,1.0,2.2,9.026527404785157e-05,3.0040740966796874e-06,4.863739013671875e-06,220.2991776340863,225.4968144172323,94.81344172126856,200.34201853327852,Dense Medium Network with Heavy Random Traffic
20,0.4,hotspot,0.5,0.5073455525791518,0.2228264961081937,0.22087475579002058,0.061346802550118984,0.028289783009525737,0.07413961720573063,1.8,1.0,1.6,7.472038269042968e-05,2.9087066650390623e-06,4.243850708007813e-06,127.68636649602456,129.69829701202747,-53.885480850589396,20.853270462075347,Dense Medium Network with Hotspot Traffic
20,0.4,bottleneck,0.6,0.48986973306353077,0.1518123090990844,0.15051747008071498,0.04195210390840247,0.018817360519359824,0.04195210390840247,1.8,1.0,1.8,7.74383544921875e-05,3.4332275390625e-06,4.625320434570312e-06,222.68116858943503,225.45706010128802,-55.14560947778605,0.0,Dense Medium Network with Bottleneck Traffic
20,0.4,cascade,0.8,0.47080701975352957,0.1906533650099406,0.18921546617340407,0.10307301210278234,0.04585779250278292,0.10307301210278234,1.8,1.0,1.8,5.464553833007812e-05,2.288818359375e-06,3.3855438232421873e-06,146.94398639592953,148.8205796676602,-55.509408750901315,0.0,Dense Medium Network with Cascade Failure
30,0.1,random,0.3,0.38862514157446953,0.08179810848866456,0.08099458919012643,0.05797907601831538,0.002804491203451459,0.10047603409206833,5.4,1.0,3.6,9.870529174804688e-05,2.5272369384765624e-06,4.38690185546875e-06,375.1028462086315,379.81617717970295,-95.16292532401597,73.29705989162075,Sparse Large Network with Light Random Traffic
30,0.1,random,0.7,0.3498800012840366,0.06032347436303618,0.059510106113188146,0.10417803595978456,0.0,0.15224240951873785,3.4,1.0,3.2,6.113052368164062e-05,1.9073486328125e-06,3.4809112548828124e-06,480.0063822226213,487.9337546778446,-100.0,46.13676300972636,Sparse Large Network with Heavy Random Traffic
30,0.1,hotspot,0.5,0.4122016020782392,0.11302363626807863,0.11206316059888288,0.049076879681821985,0.03528923188673971,0.06494494937797261,3.2,1.0,2.8,3.457069396972656e-05,1.239776611328125e-06,2.193450927734375e-06,264.70389352944375,267.82971306125046,-28.0939780289031,32.33308596436326,Sparse Large Network with Hotspot Traffic
30,0.1,bottleneck,0.6,0.41521467912305043,0.0809562998102694,0.080563812361726,0.03298372372426532,0.005841165774553959,0.03284115233462327,3.0,1.0,2.8,7.481575012207032e-05,2.6702880859375e-06,4.5299530029296875e-06,412.8874220982861,415.3860858256868,-82.2907630945964,-0.4322477074871989,Sparse Large Network with Bottleneck Traffic
30,0.1,cascade,0.8,0.3776431190535293,0.09245311288820637,0.09159904620681425,0.09299321990957088,0.022880939214654634,0.09226614256154032,3.2,1.0,3.6,5.564689636230469e-05,1.811981201171875e-06,3.62396240234375e-06,308.46987976507904,312.2784403244536,-75.39504574967435,-0.7818606009530438,Sparse Large Network with Cascade Failure
30,0.3,random,0.3,0.4613268006262216,0.1750909657795267,0.1719459941169502,0.030573371413528172,0.020811577056094162,0.09410142682695326,3.0,1.0,2.0,4.611015319824219e-05,2.09808349609375e-06,2.6226043701171875e-06,163.4783574197203,168.29749829033364,-31.929073916639073,207.78884524758382,Dense Large Network with Light Random Traffic
30,0.3,random,0.7,0.44833029920331785,0.1486829367783467,0.14545784166586104,0.05157327439960041,0.010147611124719808,0.07163505029405268,2.4,1.0,2.6,6.070137023925781e-05,2.384185791015625e-06,3.719329833984375e-06,201.53446583563178,208.22009598712543,-80.32389596577868,38.89955820724018,Dense Large Network with Heavy Random Traffic
30,0.3,hotspot,0.5,0.4552482931909445,0.14625703238429485,0.1436844944900016,0.036436788088724276,0.022653841928239472,0.05660008341364563,2.2,1.0,2.4,3.809928894042969e-05,1.811981201171875e-06,2.6226043701171875e-06,211.26591711143544,216.838845281683,-37.82700639508363,55.3377407356086,Dense Large Network with Hotspot Traffic
30,0.3,bottleneck,0.6,0.48997002709643506,0.16724925943491536,0.16519686056766886,0.029819108354999107,0.01645032201773533,0.03782342480295695,2.4,1.0,2.2,5.507469177246094e-05,2.4318695068359373e-06,3.4809112548828124e-06,192.9579651066292,196.59766257829747,-44.83295133478573,26.84291009867148,Dense Large Network with Bottleneck Traffic
30,0.3,cascade,0.8,0.41211092662547655,0.1531736692029162,0.15105173493196844,0.11266706116145846,0.04216654289776903,0.11266706116145846,2.6,1.0,2.6,3.881454467773438e-05,1.621246337890625e-06,2.574920654296875e-06,169.048152185696,172.82766848794253,-62.57420539500722,0.0,Dense Large Network with Cascade Failure
