step,current_node,candidate_node,pheromone,distance,congestion,traffic,pheromone_factor,distance_factor,congestion_factor,desirability,edge_weight,is_chosen,probability
0,0,2,0.1,2.408353296013592,1.0,87.24263734146541,0.1,0.17240887057991702,0.010000000000000009,0.00017240887057991716,48.16706592027184,False,0.1374701952149624
0,0,3,0.21886877517564204,3.5868986445614413,1.0,80.80078520625871,0.21886877517564204,0.07772518960150036,0.010000000000000009,0.00017011617048374948,32.776705052449415,False,0.13564211102921606
0,0,4,0.146860342730014,7.753314623626765,1.0,52.91097823362309,0.146860342730014,0.016635091141888835,0.010000000000000009,2.4430351864428166e-05,105.58758722060658,False,0.019479538545068138
0,0,8,0.1167033128180058,6.7295676469766414,1.0,103.14360944980986,0.1167033128180058,0.022081352655252882,0.010000000000000009,2.5769670063706825e-05,115.32779120796914,False,0.020547443773438884
0,0,10,0.300216671717636,1.975743055913076,1.0,120.61185431205931,0.300216671717636,0.2561763724407988,0.010000000000000009,0.0007690841790687422,13.162114179796982,False,0.6132291910369632
0,0,11,0.11736372284481264,4.31442270282986,1.0,117.06045805561455,0.11736372284481264,0.05372230211577115,0.010000000000000009,6.305049376100662e-05,73.52225369562828,True,0.050273304712054524
0,0,13,0.13299709787866265,9.00582955056452,1.0,97.45529853340263,0.13299709787866265,0.012329701257863217,0.010000000000000009,1.639814485006706e-05,135.42896340160468,False,0.013075059108730875
0,0,14,0.1,8.80564650036962,1.0,123.93749170838059,0.1,0.012896667594798298,0.010000000000000009,1.2896667594798309e-05,176.1129300073924,False,0.01028315657956591
1,11,1,0.1295232140901943,2.873825154749452,1.0,157.63329407214712,0.1295232140901943,0.12108192482602034,0.010000000000000009,0.0001568292007169346,44.3754453583625,True,0.3985962546642426
1,11,4,0.10777185622407862,6.571317359524251,1.0,101.35661118421282,0.10777185622407862,0.023157683624795436,0.010000000000000009,2.4957465500941557e-05,121.94867175454799,False,0.0634317603425314
1,11,5,0.13084503455323435,9.847689672733374,1.0,92.09796794572895,0.13084503455323435,0.010311724260632368,0.010000000000000009,1.3492379171858683e-05,150.52446898513125,False,0.034292158474489895
1,11,6,0.10613554118252364,4.7564089224607145,1.0,80.78213903072123,0.10613554118252364,0.044201970434344276,0.010000000000000009,4.691400053383044e-05,89.62895688789136,False,0.11923637191681402
1,11,8,0.11647046690415101,3.2473805625462955,1.0,92.36934752547188,0.11647046690415101,0.0948273526552703,0.010000000000000009,0.00011044586039043926,55.76315865924564,False,0.28070860588174396
1,11,12,0.10680984341310581,8.610048460664022,1.0,101.29147534303851,0.10680984341310581,0.013489281205611485,0.010000000000000009,1.4407880133267153e-05,161.2220032448348,False,0.03661899080348694
1,11,13,0.12050465274875286,6.755266346802513,1.0,107.36372561048378,0.12050465274875286,0.0219136663963455,0.010000000000000009,2.6406987595436312e-05,112.11627423028985,False,0.0671158579166912
2,1,3,0.2475039573147327,5.864731244788899,1.0,214.28423577368594,0.2475039573147327,0.02907393196685563,0.010000000000000009,7.195913216496085e-05,47.39100989267133,True,0.10721042037984599
2,1,6,0.12223409085716151,8.45118152505968,1.0,167.0640264761586,0.12223409085716151,0.014001196144964641,0.010000000000000009,1.711423481692549e-05,138.27863349407875,False,0.025498143932528014
2,1,10,0.22768370037899344,5.803230496697013,1.0,231.59760026623795,0.22768370037899344,0.029693429417910495,0.010000000000000009,6.760709886812329e-05,50.97624895446781,False,0.10072641612321549
2,1,13,0.15085185616366573,1.9056287168143409,1.0,174.70221871507778,0.15085185616366573,0.27537431031183984,0.010000000000000009,0.0004154072585033035,25.26490247155914,False,0.6189066692867161
2,1,14,0.12432664354365736,3.5418375628150405,1.0,94.81266015282453,0.12432664354365736,0.07971549017749892,0.010000000000000009,9.910759332205835e-05,56.97632401008756,False,0.14765835027769436
3,3,2,0.11638119142653237,8.022552165503434,0.5728897092389317,36.98225106121676,0.11638119142653237,0.01553727671815794,0.4271102907610683,0.0007723208062578396,108.42464824669337,True,0.6682723719535091
3,3,4,0.1,6.606648105132288,0.989523655191629,84.81090985235919,0.1,0.02291066259172488,0.010476344808371008,2.4002000109915683e-05,131.4408268668764,False,0.02076840791432313
3,3,5,0.1,4.9935896235934685,1.0,85.44212597899569,0.1,0.040102763606267966,0.010000000000000009,4.0102763606268e-05,99.87179247186937,False,0.03470004788153348
3,3,6,0.1,2.394565771523903,1.0,44.02471009749568,0.1,0.1743999914829263,0.010000000000000009,0.00017439999148292644,47.89131543047806,False,0.15090451407320737
3,3,10,0.10613554118252364,2.7066871851858023,1.0,39.21708558406244,0.10613554118252364,0.13649723889723017,0.010000000000000009,0.00014487208320277753,51.00435075807552,False,0.12535465817742694
4,2,14,0.5340013317297798,3.8596873255206674,1.0,517.4561140153875,0.5340013317297798,0.06712677032867959,0.010000000000000009,0.00035845784750234,14.455721722708292,True,1.0
5,14,7,0.23495164255791967,2.6722023316263215,1.0,223.92415458512104,0.23495164255791967,0.1400429732841658,0.010000000000000009,0.00032903326601809645,22.746828262480243,False,0.9485231662208017
5,14,9,0.17259036627631125,9.831197683878768,1.0,248.6731458677384,0.17259036627631125,0.010346349437934303,0.010000000000000009,1.78568023911579e-05,113.92521953559515,True,0.05147683377919826
6,9,5,0.12714532710886264,8.440215011675193,1.0,136.68061329367984,0.12714532710886264,0.014037603761609372,0.010000000000000009,1.784815722094426e-05,132.7648479672183,True,0.180761404118176
6,9,8,0.12051212240107674,3.8598135546499917,1.0,162.53765294437233,0.12051212240107674,0.06712237984965819,0.010000000000000009,8.089060456293581e-05,64.05685133988655,False,0.8192385958818239
